index	file	style	left_label	right_label	palette	icon
1	reward_choice_001_floating_chip_sea_cyan.png	floating_chip	ATK +6	ATK +10%	sea_cyan	ring
2	reward_choice_002_floor_tag_attack_orange.png	floor_tag	ATK +6	ATK +10%	attack_orange	shark
3	reward_choice_003_micro_panel_sea_cyan.png	micro_panel	ATK +6	ATK +10%	sea_cyan	claw
4	reward_choice_004_combat_pop_attack_orange.png	combat_pop	ATK +6	ATK +10%	attack_orange	drop
5	reward_choice_005_trail_text_sea_cyan.png	trail_text	ATK +6	ATK +10%	sea_cyan	burst
6	reward_choice_006_orb_label_attack_orange.png	orb_label	ATK +6	ATK +10%	attack_orange	sword
7	reward_choice_007_stat_bar_pink_amp.png	stat_bar	ATK +6	ATK +10%	pink_amp	bolt
8	reward_choice_008_icon_badge_heat_red.png	icon_badge	ATK +6	ATK +10%	heat_red	ring
9	reward_choice_009_lane_projection_pink_amp.png	lane_projection	ATK +6	ATK +10%	pink_amp	shark
10	reward_choice_010_enemy_drop_heat_red.png	enemy_drop	ATK +6	ATK +10%	heat_red	flame
11	reward_choice_011_split_arrow_pink_amp.png	split_arrow	ATK +6	ATK +10%	pink_amp	triangle
12	reward_choice_012_halo_label_heat_red.png	halo_label	ATK +6	ATK +10%	heat_red	burst
13	reward_choice_013_minimal_dot_pink_amp.png	minimal_dot	ATK +6	ATK +10%	pink_amp	sword
14	reward_choice_014_vertical_stack_electric_gold.png	vertical_stack	ATK +6	ATK +10%	electric_gold	bolt
15	reward_choice_015_angled_plate_clean_white.png	angled_plate	ATK +6	ATK +10%	clean_white	drop
16	reward_choice_016_ring_meter_electric_gold.png	ring_meter	ATK +6	ATK +10%	electric_gold	crosshair
17	reward_choice_017_double_line_clean_white.png	double_line	ATK +6	ATK +10%	clean_white	flame
18	reward_choice_018_outline_text_electric_gold.png	outline_text	ATK +6	ATK +10%	electric_gold	triangle
19	reward_choice_019_sticker_small_clean_white.png	sticker_small	ATK +6	ATK +10%	clean_white	burst
20	reward_choice_020_recommended_electric_gold.png	recommended	ATK +6	ATK +10%	electric_gold	shark
21	reward_choice_021_floating_chip_attack_orange.png	floating_chip	ATK +6	ATK x1.10	attack_orange	claw
22	reward_choice_022_floor_tag_sea_cyan.png	floor_tag	ATK +6	ATK x1.10	sea_cyan	drop
23	reward_choice_023_micro_panel_attack_orange.png	micro_panel	ATK +6	ATK x1.10	attack_orange	crosshair
24	reward_choice_024_combat_pop_sea_cyan.png	combat_pop	ATK +6	ATK x1.10	sea_cyan	flame
25	reward_choice_025_trail_text_attack_orange.png	trail_text	ATK +6	ATK x1.10	attack_orange	bolt
26	reward_choice_026_orb_label_sea_cyan.png	orb_label	ATK +6	ATK x1.10	sea_cyan	ring
27	reward_choice_027_stat_bar_attack_orange.png	stat_bar	ATK +6	ATK x1.10	attack_orange	shark
28	reward_choice_028_icon_badge_pink_amp.png	icon_badge	ATK +6	ATK x1.10	pink_amp	claw
29	reward_choice_029_lane_projection_heat_red.png	lane_projection	ATK +6	ATK x1.10	heat_red	drop
30	reward_choice_030_enemy_drop_pink_amp.png	enemy_drop	ATK +6	ATK x1.10	pink_amp	burst
31	reward_choice_031_split_arrow_heat_red.png	split_arrow	ATK +6	ATK x1.10	heat_red	sword
32	reward_choice_032_halo_label_pink_amp.png	halo_label	ATK +6	ATK x1.10	pink_amp	bolt
33	reward_choice_033_minimal_dot_heat_red.png	minimal_dot	ATK +6	ATK x1.10	heat_red	ring
34	reward_choice_034_vertical_stack_pink_amp.png	vertical_stack	ATK +6	ATK x1.10	pink_amp	shark
35	reward_choice_035_angled_plate_electric_gold.png	angled_plate	ATK +6	ATK x1.10	electric_gold	flame
36	reward_choice_036_ring_meter_clean_white.png	ring_meter	ATK +6	ATK x1.10	clean_white	triangle
37	reward_choice_037_double_line_electric_gold.png	double_line	ATK +6	ATK x1.10	electric_gold	burst
38	reward_choice_038_outline_text_clean_white.png	outline_text	ATK +6	ATK x1.10	clean_white	sword
39	reward_choice_039_sticker_small_electric_gold.png	sticker_small	ATK +6	ATK x1.10	electric_gold	bolt
40	reward_choice_040_recommended_clean_white.png	recommended	ATK +6	ATK x1.10	clean_white	drop
41	reward_choice_041_floating_chip_electric_gold.png	floating_chip	DMG +6	DMG +10%	electric_gold	crosshair
42	reward_choice_042_floor_tag_attack_orange.png	floor_tag	DMG +6	DMG +10%	attack_orange	flame
43	reward_choice_043_micro_panel_sea_cyan.png	micro_panel	DMG +6	DMG +10%	sea_cyan	triangle
44	reward_choice_044_combat_pop_attack_orange.png	combat_pop	DMG +6	DMG +10%	attack_orange	burst
45	reward_choice_045_trail_text_sea_cyan.png	trail_text	DMG +6	DMG +10%	sea_cyan	shark
46	reward_choice_046_orb_label_attack_orange.png	orb_label	DMG +6	DMG +10%	attack_orange	claw
47	reward_choice_047_stat_bar_sea_cyan.png	stat_bar	DMG +6	DMG +10%	sea_cyan	drop
48	reward_choice_048_icon_badge_attack_orange.png	icon_badge	DMG +6	DMG +10%	attack_orange	crosshair
49	reward_choice_049_lane_projection_pink_amp.png	lane_projection	DMG +6	DMG +10%	pink_amp	flame
50	reward_choice_050_enemy_drop_heat_red.png	enemy_drop	DMG +6	DMG +10%	heat_red	bolt
51	reward_choice_051_split_arrow_pink_amp.png	split_arrow	DMG +6	DMG +10%	pink_amp	ring
52	reward_choice_052_halo_label_heat_red.png	halo_label	DMG +6	DMG +10%	heat_red	shark
53	reward_choice_053_minimal_dot_pink_amp.png	minimal_dot	DMG +6	DMG +10%	pink_amp	claw
54	reward_choice_054_vertical_stack_heat_red.png	vertical_stack	DMG +6	DMG +10%	heat_red	drop
55	reward_choice_055_angled_plate_pink_amp.png	angled_plate	DMG +6	DMG +10%	pink_amp	burst
56	reward_choice_056_ring_meter_electric_gold.png	ring_meter	DMG +6	DMG +10%	electric_gold	sword
57	reward_choice_057_double_line_clean_white.png	double_line	DMG +6	DMG +10%	clean_white	bolt
58	reward_choice_058_outline_text_electric_gold.png	outline_text	DMG +6	DMG +10%	electric_gold	ring
59	reward_choice_059_sticker_small_clean_white.png	sticker_small	DMG +6	DMG +10%	clean_white	shark
60	reward_choice_060_recommended_electric_gold.png	recommended	DMG +6	DMG +10%	electric_gold	flame
61	reward_choice_061_floating_chip_clean_white.png	floating_chip	DMG +6	DMG x1.10	clean_white	triangle
62	reward_choice_062_floor_tag_electric_gold.png	floor_tag	DMG +6	DMG x1.10	electric_gold	burst
63	reward_choice_063_micro_panel_attack_orange.png	micro_panel	DMG +6	DMG x1.10	attack_orange	sword
64	reward_choice_064_combat_pop_sea_cyan.png	combat_pop	DMG +6	DMG x1.10	sea_cyan	bolt
65	reward_choice_065_trail_text_attack_orange.png	trail_text	DMG +6	DMG x1.10	attack_orange	drop
66	reward_choice_066_orb_label_sea_cyan.png	orb_label	DMG +6	DMG x1.10	sea_cyan	crosshair
67	reward_choice_067_stat_bar_attack_orange.png	stat_bar	DMG +6	DMG x1.10	attack_orange	flame
68	reward_choice_068_icon_badge_sea_cyan.png	icon_badge	DMG +6	DMG x1.10	sea_cyan	triangle
69	reward_choice_069_lane_projection_attack_orange.png	lane_projection	DMG +6	DMG x1.10	attack_orange	burst
70	reward_choice_070_enemy_drop_pink_amp.png	enemy_drop	DMG +6	DMG x1.10	pink_amp	shark
71	reward_choice_071_split_arrow_heat_red.png	split_arrow	DMG +6	DMG x1.10	heat_red	claw
72	reward_choice_072_halo_label_pink_amp.png	halo_label	DMG +6	DMG x1.10	pink_amp	drop
73	reward_choice_073_minimal_dot_heat_red.png	minimal_dot	DMG +6	DMG x1.10	heat_red	crosshair
74	reward_choice_074_vertical_stack_pink_amp.png	vertical_stack	DMG +6	DMG x1.10	pink_amp	flame
75	reward_choice_075_angled_plate_heat_red.png	angled_plate	DMG +6	DMG x1.10	heat_red	bolt
76	reward_choice_076_ring_meter_pink_amp.png	ring_meter	DMG +6	DMG x1.10	pink_amp	ring
77	reward_choice_077_double_line_electric_gold.png	double_line	DMG +6	DMG x1.10	electric_gold	shark
78	reward_choice_078_outline_text_clean_white.png	outline_text	DMG +6	DMG x1.10	clean_white	claw
79	reward_choice_079_sticker_small_electric_gold.png	sticker_small	DMG +6	DMG x1.10	electric_gold	drop
80	reward_choice_080_recommended_clean_white.png	recommended	DMG +6	DMG x1.10	clean_white	burst
81	reward_choice_081_floating_chip_electric_gold.png	floating_chip	BITE +6	BITE +10%	electric_gold	sword
82	reward_choice_082_floor_tag_clean_white.png	floor_tag	BITE +6	BITE +10%	clean_white	bolt
83	reward_choice_083_micro_panel_electric_gold.png	micro_panel	BITE +6	BITE +10%	electric_gold	ring
84	reward_choice_084_combat_pop_attack_orange.png	combat_pop	BITE +6	BITE +10%	attack_orange	shark
85	reward_choice_085_trail_text_sea_cyan.png	trail_text	BITE +6	BITE +10%	sea_cyan	flame
86	reward_choice_086_orb_label_attack_orange.png	orb_label	BITE +6	BITE +10%	attack_orange	triangle
87	reward_choice_087_stat_bar_sea_cyan.png	stat_bar	BITE +6	BITE +10%	sea_cyan	burst
88	reward_choice_088_icon_badge_attack_orange.png	icon_badge	BITE +6	BITE +10%	attack_orange	sword
89	reward_choice_089_lane_projection_sea_cyan.png	lane_projection	BITE +6	BITE +10%	sea_cyan	bolt
90	reward_choice_090_enemy_drop_attack_orange.png	enemy_drop	BITE +6	BITE +10%	attack_orange	drop
91	reward_choice_091_split_arrow_pink_amp.png	split_arrow	BITE +6	BITE +10%	pink_amp	crosshair
92	reward_choice_092_halo_label_heat_red.png	halo_label	BITE +6	BITE +10%	heat_red	flame
93	reward_choice_093_minimal_dot_pink_amp.png	minimal_dot	BITE +6	BITE +10%	pink_amp	triangle
94	reward_choice_094_vertical_stack_heat_red.png	vertical_stack	BITE +6	BITE +10%	heat_red	burst
95	reward_choice_095_angled_plate_pink_amp.png	angled_plate	BITE +6	BITE +10%	pink_amp	shark
96	reward_choice_096_ring_meter_heat_red.png	ring_meter	BITE +6	BITE +10%	heat_red	claw
97	reward_choice_097_double_line_pink_amp.png	double_line	BITE +6	BITE +10%	pink_amp	drop
98	reward_choice_098_outline_text_electric_gold.png	outline_text	BITE +6	BITE +10%	electric_gold	crosshair
99	reward_choice_099_sticker_small_clean_white.png	sticker_small	BITE +6	BITE +10%	clean_white	flame
100	reward_choice_100_recommended_electric_gold.png	recommended	BITE +6	BITE +10%	electric_gold	bolt
