HWY_E01_ConeMechanic_Right	540	621	1.15
HWY_E02_TrafficPatrol_Right	581	668	1.149742
HWY_E03_TollgateChief_Right	936	1076	1.149573
HWY_E04_TireBruiser_Right	1006	1157	1.150099
HWY_E05_AsphaltWorker_Right	721	829	1.149792
HWY_E06_DeliveryRider_Right	775	891	1.149677
HWY_E07_ConeMechanic_Right	833	958	1.15006
HWY_E08_TrafficPatrol_Right	896	1030	1.149554
HWY_E09_TollgateChief_Right	1445	1662	1.150173
HWY_E10_TireBruiser_Right	1553	1786	1.150032
HWY_E11_AsphaltWorker_Right	1113	1280	1.150045
HWY_E12_DeliveryRider_Right	1196	1375	1.149666
HWY_E13_ConeMechanic_Right	1286	1479	1.150078
HWY_E14_TrafficPatrol_Right	1383	1590	1.149675
HWY_E15_TollgateChief_Right	2229	2563	1.149843
HWY_E16_TireBruiser_Right	2397	2757	1.150188
HWY_E17_AsphaltWorker_Right	1718	1976	1.150175
HWY_E18_DeliveryRider_Right	1846	2123	1.150054
HWY_E19_ConeMechanic_Right	1985	2283	1.150126
HWY_E20_TrafficPatrol_Right	2134	2454	1.149953
HWY_E21_TollgateChief_Right	3441	3957	1.149956
HWY_E22_TireBruiser_Right	3699	4254	1.150041
HWY_AddedLeader_1_Right	2651	3049	1.150132
HWY_AddedLeader_2_Right	2850	3277	1.149825
HWY_E23_TollgateChief_Right	7965	9160	1.150031
