RST_E01_ParkingMarshal_Right	2750	3162	1.149818
RST_E02_SnackChef_Right	2915	3352	1.149914
RST_E03_CoffeeVendor_Right	3090	3553	1.149838
RST_E04_DeliveryRider_Right	3275	3766	1.149924
RST_E05_TireBruiser_Right	5208	5989	1.149962
RST_E06_ParkingMarshal_Right	3680	4232	1.15
RST_E07_SnackChef_Right	3901	4486	1.149962
RST_E08_CoffeeVendor_Right	4135	4755	1.14994
RST_E09_DeliveryRider_Right	4383	5040	1.149897
RST_E10_TireBruiser_Right	6969	8014	1.14995
RST_E11_ParkingMarshal_Right	4925	5664	1.150051
RST_E12_SnackChef_Right	5220	6003	1.15
RST_E13_CoffeeVendor_Right	5534	6364	1.149982
RST_E14_DeliveryRider_Right	5866	6746	1.150017
RST_E15_TireBruiser_Right	9326	10725	1.150011
RST_E16_ParkingMarshal_Right	6591	7580	1.150053
RST_E17_SnackChef_Right	6986	8034	1.150014
RST_E18_CoffeeVendor_Right	7405	8516	1.150034
RST_E19_DeliveryRider_Right	7849	9026	1.149955
RST_E20_TireBruiser_Right	12481	14353	1.149988
RST_E21_ParkingMarshal_Right	8820	10143	1.15
RST_E22_SnackChef_Right	9349	10751	1.149963
RST_E23_CoffeeVendor_Right	9910	11397	1.15005
RST_E24_DeliveryRider_Right	10504	12080	1.150038
RST_E25_TireBruiser_Right	28950	33293	1.150017
