SR18_L_E01_T005_Enemy_OldMan_Right	45	52	1.155556
SR18_L_E02_T017_Enemy_OldMan_Right	55	63	1.145455
SR18_L_E03_T029_Enemy_YllowMan_Sword_Right	130	150	1.153846
SR18_L_E04_T041_Enemy_OldMan_Right	143	164	1.146853
SR18_L_E05_T053_Enemy_Guard_Right	157	181	1.152866
SR18_L_E06_T065_Enemy_YllowMan_Net_Right	173	199	1.150289
SR18_L_E07_T077_Enemy_YllowMan_Sword_Right	190	218	1.147368
SR18_L_E08_T089_Enemy_FatMan_Right	342	393	1.149123
SR18_L_E09_T101_Enemy_YllowMan_Net_Right	209	240	1.148325
SR18_L_E10_T113_Enemy_YllowMan_Sword_Right	230	265	1.152174
SR18_L_E11_T125_Enemy_OldMan_Right	253	291	1.150198
SR18_L_E12_T137_Enemy_FatMan_Right	455	523	1.149451
SR18_L_E13_T149_Enemy_OldMan_Right	278	320	1.151079
SR18_L_E14_T165_Enemy_OldMan_Right	306	352	1.150327
SR18_L_E15_T173_Enemy_YllowMan_Sword_Right	337	388	1.151335
SR18_L_E16_T185_Enemy_OldMan_Right	371	427	1.150943
SR18_L_E17_T197_Enemy_Guard_Right	408	469	1.14951
SR18_L_E18_T209_Enemy_YllowMan_Net_Right	449	516	1.14922
SR18_L_E19_T221_Enemy_YllowMan_Sword_Right	494	568	1.149798
SR18_L_E20_T233_Enemy_OldMan_Right	543	624	1.149171
SR18_L_E21_T245_Enemy_YllowMan_Net_Right	597	687	1.150754
SR18_L_E22_T257_Enemy_OldMan_Right	657	756	1.150685
SR18_L_E23_T273_Enemy_OldMan_Right	723	831	1.149378
SR18_L_E24_T281_Enemy_FatMan_Right	1301	1496	1.149885
SR18_L_E25_T293_Enemy_Woman_Right	2458	2827	1.150122
